userId,language,mistakePatternId,occurrenceCount,masteryScore,userArchetype
user_1,cpp,cpp.PointerErrors,22,0.15,PointerStruggler
user_1,cpp,cpp.MemoryLeaks,18,0.20,PointerStruggler
user_1,cpp,cpp.OffByOne,5,0.65,PointerStruggler
user_1,java,java.NullPointerException,3,0.85,PointerStruggler
user_2,java,java.NullPointerException,28,0.10,JavaNewbie
user_2,java,java.TypeMismatch,20,0.18,JavaNewbie
user_2,java,java.StaticMethods,15,0.30,JavaNewbie
user_2,python,python.IndentationError,4,0.78,JavaNewbie
user_3,python,python.ListComprehension,35,0.95,Pythonista
user_3,python,python.AsyncAwait,2,0.90,Pythonista
user_3,python,python.NameError,6,0.70,Pythonista
user_3,cpp,cpp.PointerErrors,25,0.12,Pythonista
user_4,cpp,cpp.InfiniteLoop,19,0.22,LogicLooper
user_4,python,python.OffByOne,17,0.25,LogicLooper
user_4,java,java.ArrayIndexOutOfBounds,15,0.30,LogicLooper
user_5,cpp,cpp.PointerErrors,2,0.95,PolyglotPro
user_5,java,java.NullPointerException,1,0.98,PolyglotPro
user_5,python,python.AsyncAwait,3,0.92,PolyglotPro
user_6,cpp,cpp.PointerErrors,25,0.11,PointerStruggler
user_6,cpp,cpp.MemoryLeaks,20,0.19,PointerStruggler
user_6,cpp,cpp.OffByOne,7,0.60,PointerStruggler
user_7,java,java.NullPointerException,30,0.09,JavaNewbie
user_7,java,java.TypeMismatch,22,0.15,JavaNewbie
user_7,java,java.StaticMethods,18,0.25,JavaNewbie
user_8,python,python.ListComprehension,38,0.97,Pythonista
user_8,python,python.AsyncAwait,1,0.95,Pythonista
user_8,python,python.NameError,4,0.80,Pythonista
user_9,cpp,cpp.InfiniteLoop,21,0.18,LogicLooper
user_9,python,python.OffByOne,19,0.20,LogicLooper
user_9,java,java.ArrayIndexOutOfBounds,17,0.28,LogicLooper
user_10,cpp,cpp.PointerErrors,1,0.97,PolyglotPro
user_10,java,java.NullPointerException,2,0.96,PolyglotPro
user_10,python,python.AsyncAwait,1,0.98,PolyglotPro
user_11,cpp,cpp.PointerErrors,19,0.21,PointerStruggler
user_11,cpp,cpp.MemoryLeaks,16,0.24,PointerStruggler
user_12,java,java.NullPointerException,26,0.13,JavaNewbie
user_12,java,java.TypeMismatch,18,0.22,JavaNewbie
user_13,python,python.ListComprehension,33,0.92,Pythonista
user_13,python,python.NameError,7,0.68,Pythonista
user_14,cpp,cpp.InfiniteLoop,18,0.24,LogicLooper
user_14,python,python.OffByOne,16,0.28,LogicLooper
user_15,cpp,cpp.PointerErrors,3,0.91,PolyglotPro
user_15,java,java.NullPointerException,1,0.99,PolyglotPro
user_15,python,python.AsyncAwait,2,0.94,PolyglotPro
user_16,cpp,cpp.PointerErrors,23,0.14,PointerStruggler
user_16,cpp,cpp.MemoryLeaks,19,0.21,PointerStruggler
user_17,java,java.NullPointerException,29,0.10,JavaNewbie
user_17,java,java.TypeMismatch,21,0.17,JavaNewbie
user_18,python,python.ListComprehension,36,0.94,Pythonista
user_18,python,python.AsyncAwait,3,0.88,Pythonista
user_19,cpp,cpp.InfiniteLoop,20,0.20,LogicLooper
user_19,python,python.OffByOne,18,0.22,LogicLooper
user_20,cpp,cpp.PointerErrors,2,0.93,PolyglotPro
user_20,java,java.NullPointerException,2,0.95,PolyglotPro
user_20,python,python.AsyncAwait,2,0.93,PolyglotPro
user_21,cpp,cpp.PointerErrors,21,0.17,PointerStruggler
user_21,cpp,cpp.MemoryLeaks,17,0.23,PointerStruggler
user_22,java,java.NullPointerException,27,0.12,JavaNewbie
user_22,java,java.TypeMismatch,19,0.20,JavaNewbie
user_23,python,python.ListComprehension,34,0.93,Pythonista
user_23,python,python.NameError,5,0.75,Pythonista
user_24,cpp,cpp.InfiniteLoop,19,0.21,LogicLooper
user_24,python,python.OffByOne,17,0.24,LogicLooper
user_25,cpp,cpp.PointerErrors,1,0.98,PolyglotPro
user_25,java,java.NullPointerException,3,0.92,PolyglotPro
user_25,python,python.AsyncAwait,1,0.97,PolyglotPro
user_26,cpp,cpp.PointerErrors,24,0.13,PointerStruggler
user_26,cpp,cpp.MemoryLeaks,21,0.18,PointerStruggler
user_27,java,java.NullPointerException,31,0.08,JavaNewbie
user_27,java,java.TypeMismatch,23,0.14,JavaNewbie
user_28,python,python.ListComprehension,37,0.96,Pythonista
user_28,python,python.AsyncAwait,2,0.91,Pythonista
